Entity,Year,Renewables (% equivalent primary energy)
Algeria,1965,4.7630677
Algeria,1966,3.518747
Algeria,1967,4.2919536
Algeria,1968,5.4861946
Algeria,1969,3.1827636
Algeria,1970,4.6656837
Algeria,1971,2.4559188
Algeria,1972,3.2783434
Algeria,1973,4.175826
Algeria,1974,2.494738
Algeria,1975,1.3782818
Algeria,1976,1.4010223
Algeria,1977,0.88172823
Algeria,1978,0.6521151
Algeria,1979,0.5792936
Algeria,1980,0.4290016
Algeria,1981,0.5029403
Algeria,1982,0.57087004
Algeria,1983,0.25644946
Algeria,1984,0.51367354
Algeria,1985,0.72826535
Algeria,1986,0.26640448
Algeria,1987,0.5174273
Algeria,1988,0.17717436
Algeria,1989,0.22495823
Algeria,1990,0.1267387
Algeria,1991,0.277607
Algeria,1992,0.18375747
Algeria,1993,0.35028014
Algeria,1994,0.16257899
Algeria,1995,0.1822476
Algeria,1996,0.1288034
Algeria,1997,0.0744559
Algeria,1998,0.20617962
Algeria,1999,0.19274342
Algeria,2000,0.053235482
Algeria,2001,0.065218486
Algeria,2002,0.05167677
Algeria,2003,0.228104
Algeria,2004,0.2067869
Algeria,2005,0.43411878
Algeria,2006,0.16327195
Algeria,2007,0.15990457
Algeria,2008,0.1877543
Algeria,2009,0.21278548
Algeria,2010,0.11513238
Algeria,2011,0.2352599
Algeria,2012,0.22453195
Algeria,2013,0.064763196
Algeria,2014,0.117502466
Algeria,2015,0.096813366
Algeria,2016,0.14580712
Algeria,2017,0.24701829
Algeria,2018,0.28767928
Algeria,2019,0.29474697
Algeria,2020,0.29789943
Algeria,2021,0.26136735
Argentina,1965,1.1027236
Argentina,1966,1.0818976
Argentina,1967,1.0765653
Argentina,1968,1.2273394
Argentina,1969,1.0651699
Argentina,1970,1.3534116
Argentina,1971,1.2703215
Argentina,1972,1.2349966
Argentina,1973,2.2836952
Argentina,1974,3.6298018
Argentina,1975,3.862203
Argentina,1976,3.5544236
Argentina,1977,3.9092395
Argentina,1978,5.2276783
Argentina,1979,6.7023063
Argentina,1980,9.552859
Argentina,1981,9.541531
Argentina,1982,11.229479
Argentina,1983,11.303474
Argentina,1984,12.132671
Argentina,1985,12.759556
Argentina,1986,12.298526
Argentina,1987,12.247486
Argentina,1988,8.417367
Argentina,1989,7.5435934
Argentina,1990,10.292679
Argentina,1991,9.081444
Argentina,1992,10.206743
Argentina,1993,12.216533
Argentina,1994,13.306406
Argentina,1995,12.535519
Argentina,1996,10.225038
Argentina,1997,12.514141
Argentina,1998,11.482152
Argentina,1999,9.226557
Argentina,2000,12.283858
Argentina,2001,15.937488
Argentina,2002,16.249306
Argentina,2003,14.408259
Argentina,2004,12.1855755
Argentina,2005,12.788524
Argentina,2006,13.449462
Argentina,2007,10.599154
Argentina,2008,10.437064
Argentina,2009,11.783506
Argentina,2010,11.661375
Argentina,2011,10.929448
Argentina,2012,10.216426
Argentina,2013,10.950079
Argentina,2014,11.038978
Argentina,2015,10.907397
Argentina,2016,10.167007
Argentina,2017,10.964719
Argentina,2018,11.39763
Argentina,2019,11.926772
Argentina,2020,12.179417
Argentina,2021,11.329249
Australia,1965,5.5626216
Australia,1966,5.0718946
Australia,1967,4.9495487
Australia,1968,4.8654675
Australia,1969,5.086988
Australia,1970,5.4214506
Australia,1971,5.822727
Australia,1972,5.599285
Australia,1973,5.5886645
Australia,1974,5.9551096
Australia,1975,6.297008
Australia,1976,5.7934213
Australia,1977,5.269775
Australia,1978,5.508696
Australia,1979,5.1658406
Australia,1980,4.862272
Australia,1981,4.9303546
Australia,1982,4.6367826
Australia,1983,4.5344815
Australia,1984,4.7184544
Australia,1985,4.863155
Australia,1986,4.7985597
Australia,1987,4.532893
Australia,1988,4.6416802
Australia,1989,4.4199533
Australia,1990,4.459391
Australia,1991,4.7400618
Australia,1992,4.731717
Australia,1993,4.7594285
Australia,1994,4.5271807
Australia,1995,4.239725
Australia,1996,4.236591
Australia,1997,4.1458387
Australia,1998,4.037756
Australia,1999,4.0089335
Australia,2000,3.9888778
Australia,2001,3.870762
Australia,2002,3.9314504
Australia,2003,4.014969
Australia,2004,4.0365605
Australia,2005,4.3135533
Australia,2006,4.233413
Australia,2007,3.9767227
Australia,2008,3.6813264
Australia,2009,3.9202662
Australia,2010,4.3128047
Australia,2011,5.698981
Australia,2012,5.700209
Australia,2013,6.525869
Australia,2014,5.979823
Australia,2015,6.290021
Australia,2016,7.1891756
Australia,2017,6.750127
Australia,2018,8.300061
Australia,2019,8.880722
Australia,2020,10.789811
Australia,2021,12.933532
Austria,1965,25.096407
Austria,1966,25.840193
Austria,1967,26.118929
Austria,1968,25.099165
Austria,1969,22.27537
Austria,1970,24.770256
Austria,1971,19.652302
Austria,1972,19.524147
Austria,1973,20.177391
Austria,1974,23.734528
Austria,1975,25.034246
Austria,1976,20.90532
Austria,1977,25.271305
Austria,1978,24.244625
Austria,1979,25.784454
Austria,1980,26.826015
Austria,1981,29.280653
Austria,1982,30.31977
Austria,1983,30.117788
Austria,1984,26.689833
Austria,1985,29.769283
Austria,1986,30.177656
Austria,1987,32.19381
Austria,1988,32.733265
Austria,1989,32.408577
Austria,1990,28.908686
Austria,1991,27.587187
Austria,1992,31.037273
Austria,1993,32.088085
Austria,1994,31.2963
Austria,1995,31.51592
Austria,1996,28.951206
Austria,1997,29.963467
Austria,1998,30.441696
Austria,1999,32.258
Austria,2000,32.954258
Austria,2001,30.816513
Austria,2002,30.325117
Austria,2003,25.140518
Austria,2004,27.633785
Austria,2005,27.94786
Austria,2006,28.59121
Austria,2007,30.98061
Austria,2008,31.345478
Austria,2009,34.322514
Austria,2010,31.605642
Austria,2011,30.720795
Austria,2012,35.929344
Austria,2013,35.266674
Austria,2014,36.640297
Austria,2015,34.964077
Austria,2016,35.651855
Austria,2017,34.502872
Austria,2018,34.568928
Austria,2019,35.611378
Austria,2020,38.26067
Austria,2021,37.481792
Azerbaijan,1985,1.6519357
Azerbaijan,1986,0.9406938
Azerbaijan,1987,0.9706843
Azerbaijan,1988,0.8420581
Azerbaijan,1989,0.8257338
Azerbaijan,1990,1.88166
Azerbaijan,1991,2.0779731
Azerbaijan,1992,2.4099329
Azerbaijan,1993,3.8572145
Azerbaijan,1994,3.1670034
Azerbaijan,1995,2.8640728
Azerbaijan,1996,3.449877
Azerbaijan,1997,4.0128255
Azerbaijan,1998,4.5553145
Azerbaijan,1999,3.5315983
Azerbaijan,2000,3.446014
Azerbaijan,2001,3.0117817
Azerbaijan,2002,4.7006664
Azerbaijan,2003,5.2779026
Azerbaijan,2004,5.1585817
Azerbaijan,2005,5.1650033
Azerbaijan,2006,4.3662996
Azerbaijan,2007,4.50297
Azerbaijan,2008,4.1847568
Azerbaijan,2009,4.8711276
Azerbaijan,2010,7.311432
Azerbaijan,2011,5.077954
Azerbaijan,2012,3.3373456
Azerbaijan,2013,2.7806928
Azerbaijan,2014,2.433617
Azerbaijan,2015,2.757688
Azerbaijan,2016,3.345908
Azerbaijan,2017,3.0498044
Azerbaijan,2018,3.070157
Azerbaijan,2019,2.674584
Azerbaijan,2020,1.9758317
Azerbaijan,2021,2.2015429
Bangladesh,1971,3.8597577
Bangladesh,1972,3.4065344
Bangladesh,1973,5.024387
Bangladesh,1974,3.4634595
Bangladesh,1975,6.0439763
Bangladesh,1976,5.868124
Bangladesh,1977,5.079776
Bangladesh,1978,5.5367117
Bangladesh,1979,5.8256717
Bangladesh,1980,4.9608803
Bangladesh,1981,5.0166497
Bangladesh,1982,3.8052506
Bangladesh,1983,4.870659
Bangladesh,1984,6.105583
Bangladesh,1985,4.5266814
Bangladesh,1986,2.5327976
Bangladesh,1987,2.6365013
Bangladesh,1988,3.090864
Bangladesh,1989,3.907864
Bangladesh,1990,3.5392714
Bangladesh,1991,3.4776092
Bangladesh,1992,3.0288854
Bangladesh,1993,2.1043289
Bangladesh,1994,2.7616806
Bangladesh,1995,1.0269947
Bangladesh,1996,1.9475641
Bangladesh,1997,1.8034276
Bangladesh,1998,2.0371237
Bangladesh,1999,1.9397291
Bangladesh,2000,1.6270727
Bangladesh,2001,1.8750032
Bangladesh,2002,1.3622075
Bangladesh,2003,1.2784041
Bangladesh,2004,1.2296964
Bangladesh,2005,1.1353458
Bangladesh,2006,1.0463095
Bangladesh,2007,1.0207374
Bangladesh,2008,1.2218128
Bangladesh,2009,0.5117601
Bangladesh,2010,0.8648932
Bangladesh,2011,0.95136946
Bangladesh,2012,0.82564867
Bangladesh,2013,0.7885019
Bangladesh,2014,0.646162
Bangladesh,2015,0.81840855
Bangladesh,2016,0.8060975
Bangladesh,2017,0.8946443
Bangladesh,2018,0.7471175
Bangladesh,2019,0.6751287
Bangladesh,2020,0.6580818
Bangladesh,2021,0.6501469
Belarus,1985,0.0144934775
Belarus,1986,0.012695332
Belarus,1987,0.012513182
Belarus,1988,0.012336069
Belarus,1989,0.012754959
Belarus,1990,0.012691677
Belarus,1991,0.011448725
Belarus,1992,0.012468852
Belarus,1993,0.0166659
Belarus,1994,0.019936154
Belarus,1995,0.023589265
Belarus,1996,0.018399425
Belarus,1997,0.023874052
Belarus,1998,0.032551832
Belarus,1999,0.02270776
Belarus,2000,0.031301863
Belarus,2001,0.035543464
Belarus,2002,0.032997068
Belarus,2003,0.031896286
Belarus,2004,0.034380138
Belarus,2005,0.037284452
Belarus,2006,0.03601279
Belarus,2007,0.049696002
Belarus,2008,0.07290584
Belarus,2009,0.1132527
Belarus,2010,0.1292485
Belarus,2011,0.14303419
Belarus,2012,0.15896934
Belarus,2013,0.22412229
Belarus,2014,0.20674793
Belarus,2015,0.27272683
Belarus,2016,0.34643993
Belarus,2017,0.6887631
Belarus,2018,0.57909614
Belarus,2019,0.70776963
Belarus,2020,0.9897245
Belarus,2021,0.9698578
Belgium,1965,0.19477375
Belgium,1966,0.2222244
Belgium,1967,0.16850357
Belgium,1968,0.15502341
Belgium,1969,0.13315211
Belgium,1970,0.13480939
Belgium,1971,0.07485565
Belgium,1972,0.094584495
Belgium,1973,0.15358603
Belgium,1974,0.19144315
Belgium,1975,0.15560853
Belgium,1976,0.09175518
Belgium,1977,0.26350045
Belgium,1978,0.2591517
Belgium,1979,0.28706482
Belgium,1980,0.31437632
Belgium,1981,0.3818605
Belgium,1982,0.2197636
Belgium,1983,0.21319488
Belgium,1984,0.21372305
Belgium,1985,0.18697688
Belgium,1986,0.24818589
Belgium,1987,0.30061388
Belgium,1988,0.2812286
Belgium,1989,0.2577133
Belgium,1990,0.2747965
Belgium,1991,0.25747994
Belgium,1992,0.2941911
Belgium,1993,0.24665305
Belgium,1994,0.27591464
Belgium,1995,0.30511987
Belgium,1996,0.24272089
Belgium,1997,0.25003463
Belgium,1998,0.31667665
Belgium,1999,0.36021912
Belgium,2000,0.43326905
Belgium,2001,0.44920528
Belgium,2002,0.47973493
Belgium,2003,0.48671454
Belgium,2004,0.6062989
Belgium,2005,0.8666802
Belgium,2006,1.209545
Belgium,2007,1.415252
Belgium,2008,1.7643936
Belgium,2009,2.5214348
Belgium,2010,3.0995507
Belgium,2011,4.0459914
Belgium,2012,5.060075
Belgium,2013,5.3826203
Belgium,2014,6.051173
Belgium,2015,6.6614165
Belgium,2016,6.357454
Belgium,2017,6.910616
Belgium,2018,7.41519
Belgium,2019,7.959382
Belgium,2020,10.637791
Belgium,2021,9.336409
Brazil,1965,27.548721
Brazil,1966,27.618214
Brazil,1967,27.880291
Brazil,1968,25.555754
Brazil,1969,25.05622
Brazil,1970,26.901081
Brazil,1971,26.817772
Brazil,1972,27.390734
Brazil,1973,26.1017
Brazil,1974,26.928135
Brazil,1975,27.995861
Brazil,1976,29.160088
Brazil,1977,31.084343
Brazil,1978,31.529354
Brazil,1979,33.38749
Brazil,1980,36.188007
Brazil,1981,37.50488
Brazil,1982,39.09782
Brazil,1983,41.86777
Brazil,1984,43.21895
Brazil,1985,43.929535
Brazil,1986,43.219524
Brazil,1987,42.77721
Brazil,1988,44.011196
Brazil,1989,44.574318
Brazil,1990,45.275486
Brazil,1991,45.86179
Brazil,1992,44.902706
Brazil,1993,45.15963
Brazil,1994,44.5656
Brazil,1995,44.34581
Brazil,1996,44.08196
Brazil,1997,43.489933
Brazil,1998,43.57197
Brazil,1999,43.143803
Brazil,2000,43.288433
Brazil,2001,39.11162
Brazil,2002,40.756653
Brazil,2003,42.284126
Brazil,2004,42.286156
Brazil,2005,43.1457
Brazil,2006,43.045963
Brazil,2007,44.380226
Brazil,2008,43.366776
Brazil,2009,46.30883
Brazil,2010,44.246536
Brazil,2011,43.91006
Brazil,2012,42.06637
Brazil,2013,39.836597
Brazil,2014,38.852745
Brazil,2015,40.603523
Brazil,2016,43.5387
Brazil,2017,43.280678
Brazil,2018,46.080498
Brazil,2019,47.304844
Brazil,2020,49.47188
Brazil,2021,46.21975
Bulgaria,1965,4.9313707
Bulgaria,1966,4.6229763
Bulgaria,1967,4.003621
Bulgaria,1968,2.311565
Bulgaria,1969,2.9225402
Bulgaria,1970,3.0394955
Bulgaria,1971,2.9434655
Bulgaria,1972,2.761653
Bulgaria,1973,3.2605422
Bulgaria,1974,2.5623977
Bulgaria,1975,2.7339408
Bulgaria,1976,3.108479
Bulgaria,1977,3.5239036
Bulgaria,1978,2.805369
Bulgaria,1979,3.0763478
Bulgaria,1980,3.2677274
Bulgaria,1981,3.231806
Bulgaria,1982,2.6594315
Bulgaria,1983,2.9039197
Bulgaria,1984,2.8398352
Bulgaria,1985,1.9635512
Bulgaria,1986,2.001533
Bulgaria,1987,2.1663287
Bulgaria,1988,2.1662037
Bulgaria,1989,2.265166
Bulgaria,1990,1.7116511
Bulgaria,1991,2.7520618
Bulgaria,1992,2.477391
Bulgaria,1993,2.190292
Bulgaria,1994,1.7196692
Bulgaria,1995,2.5187614
Bulgaria,1996,3.1900234
Bulgaria,1997,3.1750753
Bulgaria,1998,3.721184
Bulgaria,1999,3.7863123
Bulgaria,2000,3.6347754
Bulgaria,2001,2.2708168
Bulgaria,2002,2.9185119
Bulgaria,2003,3.8597226
Bulgaria,2004,4.144022
Bulgaria,2005,5.212998
Bulgaria,2006,4.984425
Bulgaria,2007,3.5105207
Bulgaria,2008,3.5983686
Bulgaria,2009,5.127213
Bulgaria,2010,7.616096
Bulgaria,2011,4.8499665
Bulgaria,2012,6.869961
Bulgaria,2013,9.592919
Bulgaria,2014,9.543798
Bulgaria,2015,10.595034
Bulgaria,2016,9.0498905
Bulgaria,2017,7.619621
Bulgaria,2018,11.799093
Bulgaria,2019,9.948385
Bulgaria,2020,10.692997
Bulgaria,2021,11.486526
Canada,1965,25.138649
Canada,1966,26.194748
Canada,1967,25.610426
Canada,1968,24.47401
Canada,1969,25.521269
Canada,1970,25.025076
Canada,1971,24.927824
Canada,1972,25.893644
Canada,1973,25.552883
Canada,1974,26.811583
Canada,1975,26.156315
Canada,1976,26.332035
Canada,1977,25.808474
Canada,1978,27.05877
Canada,1979,27.297024
Canada,1980,27.539686
Canada,1981,29.403929
Canada,1982,29.416237
Canada,1983,30.499226
Canada,1984,30.855843
Canada,1985,31.611633
Canada,1986,32.04593
Canada,1987,31.649542
Canada,1988,29.611338
Canada,1989,27.817396
Canada,1990,29.480999
Canada,1991,30.499428
Canada,1992,30.51211
Canada,1993,30.450893
Canada,1994,29.927301
Canada,1995,29.888117
Canada,1996,30.879307
Canada,1997,30.284904
Canada,1998,29.307371
Canada,1999,29.588795
Canada,2000,29.767817
Canada,2001,28.20141
Canada,2002,28.546556
Canada,2003,27.180014
Canada,2004,26.827923
Canada,2005,28.265476
Canada,2006,27.616468
Canada,2007,27.694315
Canada,2008,28.590092
Canada,2009,29.20945
Canada,2010,27.789688
Canada,2011,28.62637
Canada,2012,28.976913
Canada,2013,28.941828
Canada,2014,28.14776
Canada,2015,28.764147
Canada,2016,29.6526
Canada,2017,29.67364
Canada,2018,28.814518
Canada,2019,28.586376
Canada,2020,30.54215
Canada,2021,29.88844
Chile,1965,16.010857
Chile,1966,15.744313
Chile,1967,15.76555
Chile,1968,13.261512
Chile,1969,13.893923
Chile,1970,14.088003
Chile,1971,14.758605
Chile,1972,16.941067
Chile,1973,17.183693
Chile,1974,19.690105
Chile,1975,21.933805
Chile,1976,21.624561
Chile,1977,22.024628
Chile,1978,21.673307
Chile,1979,21.54592
Chile,1980,22.060732
Chile,1981,22.26287
Chile,1982,26.589516
Chile,1983,28.068626
Chile,1984,27.7989
Chile,1985,30.296179
Chile,1986,31.164711
Chile,1987,32.0948
Chile,1988,28.36174
Chile,1989,21.771547
Chile,1990,18.957916
Chile,1991,24.084661
Chile,1992,28.35539
Chile,1993,27.52927
Chile,1994,25.954523
Chile,1995,26.028479
Chile,1996,22.551899
Chile,1997,21.909548
Chile,1998,18.059258
Chile,1999,15.275815
Chile,2000,19.573402
Chile,2001,22.04736
Chile,2002,22.61727
Chile,2003,22.010809
Chile,2004,19.768446
Chile,2005,22.415243
Chile,2006,22.566658
Chile,2007,18.706137
Chile,2008,20.915377
Chile,2009,21.777431
Chile,2010,19.264341
Chile,2011,17.502325
Chile,2012,18.09596
Chile,2013,18.432415
Chile,2014,20.193163
Chile,2015,21.427673
Chile,2016,19.706335
Chile,2017,22.405031
Chile,2018,24.343296
Chile,2019,24.144995
Chile,2020,26.557531
Chile,2021,26.518875
China,1965,4.253407
China,1966,3.9831228
China,1967,3.818398
China,1968,4.458871
China,1969,3.7274022
China,1970,3.0095923
China,1971,3.0704048
China,1972,3.2275975
China,1973,3.417015
China,1974,3.7493546
China,1975,3.5038238
China,1976,3.3725684
China,1977,3.228714
China,1978,2.7594638
China,1979,3.0088992
China,1980,3.5661976
China,1981,4.066497
China,1982,4.4212723
China,1983,4.8234906
China,1984,4.515455
China,1985,4.44183
China,1986,4.3385277
China,1987,4.2555475
China,1988,4.3230724
China,1989,4.468027
China,1990,4.7236676
China,1991,4.424778
China,1992,4.4127016
China,1993,4.7578607
China,1994,4.952474
China,1995,5.55382
China,1996,5.143133
China,1997,5.361734
China,1998,5.4277782
China,1999,5.188286
China,2000,5.656925
China,2001,6.618624
China,2002,6.2804885
China,2003,5.3011093
China,2004,5.60094
China,2005,5.554481
China,2006,5.5779824
China,2007,5.718535
China,2008,7.268667
China,2009,6.9355316
China,2010,7.615998
China,2011,7.084204
China,2012,8.522597
China,2013,8.959421
China,2014,10.19733
China,2015,10.787498
China,2016,11.530947
China,2017,12.138821
China,2018,12.807393
China,2019,13.51596
China,2020,14.242872
China,2021,14.946244
Colombia,1965,11.788209
Colombia,1966,12.017394
Colombia,1967,12.580107
Colombia,1968,13.300462
Colombia,1969,14.526139
Colombia,1970,14.817516
Colombia,1971,15.987799
Colombia,1972,15.767954
Colombia,1973,17.170427
Colombia,1974,17.39551
Colombia,1975,19.235607
Colombia,1976,19.407125
Colombia,1977,19.36701
Colombia,1978,20.862885
Colombia,1979,21.545105
Colombia,1980,23.044971
Colombia,1981,22.218885
Colombia,1982,22.697723
Colombia,1983,21.790188
Colombia,1984,23.639833
Colombia,1985,24.441961
Colombia,1986,27.276325
Colombia,1987,27.310854
Colombia,1988,28.748077
Colombia,1989,29.793999
Colombia,1990,32.640934
Colombia,1991,31.6998
Colombia,1992,24.605455
Colombia,1993,27.847397
Colombia,1994,29.809082
Colombia,1995,29.331577
Colombia,1996,31.475914
Colombia,1997,27.334064
Colombia,1998,26.691463
Colombia,1999,31.378248
Colombia,2000,29.556067
Colombia,2001,30.604485
Colombia,2002,32.692554
Colombia,2003,33.389133
Colombia,2004,34.505455
Colombia,2005,35.05353
Colombia,2006,34.14272
Colombia,2007,35.182762
Colombia,2008,33.94141
Colombia,2009,31.377745
Colombia,2010,30.092037
Colombia,2011,34.515675
Colombia,2012,31.746134
Colombia,2013,29.385107
Colombia,2014,28.364685
Colombia,2015,28.021618
Colombia,2016,27.708813
Colombia,2017,32.82906
Colombia,2018,31.99955
Colombia,2019,29.890343
Colombia,2020,30.772787
Colombia,2021,33.02041
Croatia,1990,11.200591
Croatia,1991,20.504862
Croatia,1992,15.994292
Croatia,1993,16.087965
Croatia,1994,18.960316
Croatia,1995,19.14962
Croatia,1996,24.70444
Croatia,1997,18.5449
Croatia,1998,18.053991
Croatia,1999,21.228256
Croatia,2000,19.766573
Croatia,2001,20.78086
Croatia,2002,16.80569
Croatia,2003,14.887934
Croatia,2004,19.899082
Croatia,2005,18.502132
Croatia,2006,17.52409
Croatia,2007,12.365527
Croatia,2008,15.2264805
Croatia,2009,19.643877
Croatia,2010,23.850374
Croatia,2011,15.472614
Croatia,2012,16.519665
Croatia,2013,26.373661
Croatia,2014,28.121477
Croatia,2015,22.36495
Croatia,2016,23.870218
Croatia,2017,20.273584
Croatia,2018,26.73535
Croatia,2019,23.463097
Croatia,2020,25.170088
Croatia,2021,28.271935
Cyprus,1965,0.0
Cyprus,1966,0.0
Cyprus,1967,0.0
Cyprus,1968,0.0
Cyprus,1969,0.0
Cyprus,1970,0.0
Cyprus,1971,0.0
Cyprus,1972,0.0
Cyprus,1973,0.0
Cyprus,1974,0.0
Cyprus,1975,0.0
Cyprus,1976,0.0
Cyprus,1977,0.0
Cyprus,1978,0.0
Cyprus,1979,0.0
Cyprus,1980,0.0
Cyprus,1981,0.0
Cyprus,1982,0.0
Cyprus,1983,0.0
Cyprus,1984,0.0
Cyprus,1985,0.0
Cyprus,1986,0.0
Cyprus,1987,0.0
Cyprus,1988,0.0
Cyprus,1989,0.0
Cyprus,1990,0.0
Cyprus,1991,0.0
Cyprus,1992,0.0
Cyprus,1993,0.0
Cyprus,1994,0.0
Cyprus,1995,0.0
Cyprus,1996,0.0
Cyprus,1997,0.0
Cyprus,1998,0.0
Cyprus,1999,0.0
Cyprus,2000,0.0
Cyprus,2001,0.0
Cyprus,2002,0.0
Cyprus,2003,0.0
Cyprus,2004,0.0069648223
Cyprus,2005,0.0075332997
Cyprus,2006,0.012689397
Cyprus,2007,0.02963039
Cyprus,2008,0.13309906
Cyprus,2009,0.28097296
Cyprus,2010,0.6377341
Cyprus,2011,1.5228559
Cyprus,2012,2.3008752
Cyprus,2013,3.2324405
Cyprus,2014,3.1309736
Cyprus,2015,3.776322
Cyprus,2016,3.6664777
Cyprus,2017,3.6376648
Cyprus,2018,3.8665202
Cyprus,2019,4.2749753
Cyprus,2020,5.661981
Czechia,1965,1.4077873
Czechia,1966,1.3170925
Czechia,1967,1.2057946
Czechia,1968,0.89475876
Czechia,1969,0.7005398
Czechia,1970,0.9598851
Czechia,1971,0.6451211
Czechia,1972,0.67121583
Czechia,1973,0.5706368
Czechia,1974,0.9500237
Czechia,1975,0.9102295
Czechia,1976,0.70589465
Czechia,1977,0.92965907
Czechia,1978,0.8529741
Czechia,1979,1.0576006
Czechia,1980,1.1426238
Czechia,1981,0.9889816
Czechia,1982,0.81085956
Czechia,1983,0.80229473
Czechia,1984,0.6089416
Czechia,1985,0.7824311
Czechia,1986,0.8687312
Czechia,1987,1.1157936
Czechia,1988,0.9459827
